timestamp,BNB/USDT,XRP/USDT,INJ/USDT,ETH/USDT,BTC/USDT,DOGE/USDT,ADA/USDT,AVAX/USDT,DOT/USDT,LINK/USDT,TRX/USDT,LTC/USDT,ATOM/USDT,SOL/USDT,ETC/USDT,FIL/USDT,XLM/USDT,FET/USDT,VET/USDT,ALGO/USDT,FLOW/USDT,SAND/USDT,EGLD/USDT,QNT/USDT,GALA/USDT,NEO/USDT,THETA/USDT,XTZ/USDT,MANA/USDT,GRT/USDT,SNX/USDT,ZIL/USDT,OP/USDT,WOO/USDT,PEOPLE/USDT,DYDX/USDT,NEAR/USDT
2022-03-29 00:00:00+00:00,100.45363937455552,100.0,99.0569261547973,100.0,100.0,98.15088660961847,101.38633134827349,101.4775610063365,98.47690266575768,99.73123475931335,100.13550178744053,99.00463830542675,101.41351995952269,102.41842517194205,100.0,100.0,101.19715280189874,102.45273929466278,96.30125090834075,99.35064029332754,103.36052471328449,97.96946861522817,98.14855286711112,100.88286002136495,100.0,97.82953362709877,102.69976463571854,99.46206473931838,99.15441824090763,99.04834427661127,100.03656677612962,97.71059863669333,,100.38639218760308,100.0,101.35141245082964,98.93234916749734
2022-03-29 01:00:00+00:00,100.73216148003026,100.0,100.04848697716764,100.0,100.0,99.17045953146354,102.4957777350812,102.65908796884436,99.00849188392641,100.80169523973531,100.73468843440912,100.1576426335179,102.60302170167526,103.58924518865825,100.0,100.0,102.08666562924161,102.89424576928255,98.00900376457068,100.19424468510628,103.36052471328449,99.09510610230376,99.42476932629796,101.16134962804918,100.0,98.82079156720188,102.69976463571854,100.65022319784488,100.19987445086872,100.5183669260955,101.91912560683376,101.13194855868451,,101.19884275564777,100.0,102.99562510212154,100.0352825058424
2022-03-29 02:00:00+00:00,100.63932077820535,100.0,99.32134237409605,100.0,100.0,98.4227727221105,101.81304149704569,104.26365379404605,98.47690266575768,100.86116526642543,100.75457624527071,99.38897308145712,102.26316406106024,103.07937195557217,100.0,100.0,102.08666562924161,102.3830277460386,97.30188734753797,99.51287190713114,103.36052471328449,98.40412071419796,98.6490299099295,100.53474801300965,100.0,98.55391442948181,102.69976463571854,100.20136333573487,99.43854919692492,98.98152506527109,101.50906328727443,99.68255824591014,,100.72762142618186,100.0,102.26287815969798,99.72676968392769
2022-03-29 03:00:00+00:00,100.3607986727306,100.0,99.85017481269357,100.0,100.0,98.28682966586447,102.15440961606345,104.26365379404605,98.38830446272955,100.32593502621445,100.75457624527071,99.08150526063282,101.61743454389169,103.07937195557217,100.0,100.0,102.08666562924161,102.77805985490893,98.02234558375997,99.6318417572538,103.36052471328449,98.42919679683082,98.6440251395013,100.67399281635176,100.0,98.3632879025389,102.69976463571854,100.20136333573487,99.43126378779628,99.64971717867301,101.65817685802328,100.28400592672128,,100.80886648298632,100.0,102.04841563996425,99.68049276064048
2022-03-29 04:00:00+00:00,100.98747341004876,100.0,100.83903454901672,100.0,100.0,98.89857341897151,103.79072432584142,104.26365379404605,99.4350534254939,100.70992394910844,100.75457624527071,99.77330785748751,103.70475615974041,104.85753182668559,100.0,100.0,102.08666562924161,103.69125173523071,98.51480810686539,100.30239909430868,103.36052471328449,99.39323286249457,100.14520612953042,101.91339222171871,100.0,100.65215288789071,102.69976463571854,100.99346897475255,100.04323815460276,101.94665634529912,103.96242500849151,100.36288431108996,,102.13414637081569,100.0,105.1788883495547,101.47173816545683
2022-03-29 05:00:00+00:00,100.83604269367041,100.0,100.83903454901672,100.0,100.0,99.71423175644756,103.79072432584142,104.26365379404605,99.4350534254939,100.70992394910844,100.75457624527071,99.85395286197544,103.70475615974041,104.85753182668559,100.0,100.0,102.08666562924161,103.69125173523071,98.51480810686539,100.78914981369502,103.36052471328449,99.57247501687746,100.14520612953042,101.91339222171871,100.0,100.65215288789071,102.69976463571854,102.08113394138364,100.20602615926934,101.94665634529912,103.96242500849151,101.02349078017758,,102.13414637081569,100.0,105.1788883495547,101.47173816545683
2022-03-29 06:00:00+00:00,100.83604269367041,100.0,100.83903454901672,100.0,100.0,99.37437411583254,103.79072432584142,104.26365379404605,99.4350534254939,100.70992394910844,100.75457624527071,99.85395286197544,103.70475615974041,104.85753182668559,100.0,100.0,102.08666562924161,103.69125173523071,98.51480810686539,100.78914981369502,103.36052471328449,99.57247501687746,100.14520612953042,101.91339222171871,100.0,100.65215288789071,102.69976463571854,102.08113394138364,100.20602615926934,101.94665634529912,103.96242500849151,99.63325925567973,,102.13414637081569,100.0,105.1788883495547,101.47173816545683
2022-03-29 07:00:00+00:00,100.83604269367041,100.0,100.83903454901672,100.0,100.0,98.83060189084851,103.79072432584142,104.26365379404605,99.4350534254939,100.70992394910844,100.75457624527071,99.85395286197544,103.70475615974041,104.85753182668559,100.0,100.0,102.08666562924161,103.69125173523071,98.51480810686539,100.78914981369502,103.36052471328449,99.57247501687746,100.14520612953042,101.91339222171871,100.0,100.65215288789071,102.69976463571854,102.08113394138364,100.20602615926934,101.94665634529912,103.96242500849151,98.6669990471635,,102.13414637081569,100.0,105.1788883495547,101.47173816545683
2022-03-29 08:00:00+00:00,100.83604269367041,100.0,100.83903454901672,100.0,100.0,99.22536224184584,103.79072432584142,104.26365379404605,99.4350534254939,100.70992394910844,100.75457624527071,99.85395286197544,103.70475615974041,104.85753182668559,100.0,100.0,102.08666562924161,103.69125173523071,98.51480810686539,100.78914981369502,103.36052471328449,99.57247501687746,100.14520612953042,101.91339222171871,100.0,100.65215288789071,102.69976463571854,102.08113394138364,100.20602615926934,101.94665634529912,103.96242500849151,99.4656426888963,,102.13414637081569,100.0,105.1788883495547,101.47173816545683
2022-03-29 09:00:00+00:00,100.83604269367041,100.0,100.83903454901672,100.0,100.0,99.22536224184584,103.79072432584142,104.26365379404605,99.4350534254939,100.70992394910844,100.75457624527071,99.85395286197544,103.70475615974041,104.85753182668559,100.0,100.0,102.08666562924161,103.69125173523071,98.51480810686539,100.78914981369502,103.36052471328449,99.57247501687746,100.14520612953042,101.91339222171871,100.0,100.65215288789071,102.69976463571854,102.08113394138364,100.20602615926934,101.94665634529912,103.96242500849151,99.9465748075348,,102.13414637081569,100.0,105.1788883495547,101.47173816545683
2022-03-29 10:00:00+00:00,100.83604269367041,100.0,100.83903454901672,100.0,100.0,99.22536224184584,103.79072432584142,104.26365379404605,99.4350534254939,100.70992394910844,100.75457624527071,99.85395286197544,103.70475615974041,104.85753182668559,100.0,100.0,102.08666562924161,103.69125173523071,98.51480810686539,100.78914981369502,103.36052471328449,99.57247501687746,100.14520612953042,101.91339222171871,100.0,100.65215288789071,102.69976463571854,102.08113394138364,100.20602615926934,101.94665634529912,103.96242500849151,99.9465748075348,,102.13414637081569,100.0,105.1788883495547,101.47173816545683
